Categoría,Nº,Título,Empresa,Localidad,Stack Tecnológico,Salario,Experiencia,Tipo Contrato,URL
Big Data,1,GlobalSysInfo,No especificada,Madrid - España,"Python, SQL, Azure, AWS, Spark, Databricks, R, Git, PySpark",27/05/2026 ,No especificada,Indefinido,https://www.tecnoempleo.com/globalsysinfo/re-206065
Big Data,2,GlobalSysInfo,No especificada,Madrid - España,"Python, SQL, Azure, AWS, Spark, Databricks, R, Git, PySpark",27/05/2026 ,No especificada,Indefinido,https://www.tecnoempleo.com/globalsysinfo/re-206065
Big Data,3,GlobalSysInfo,No especificada,Madrid - España,"Python, SQL, Azure, AWS, Spark, Databricks, R, Git, PySpark",27/05/2026 ,No especificada,Indefinido,https://www.tecnoempleo.com/globalsysinfo/re-206065
Big Data,4,CAS TRAINING,No especificada,Madrid - España,"Python, SQL, Azure, AWS, Spark, Databricks, Java, Scala, R, Kafka",27/05/2026 ,2+ años,Indefinido,https://www.tecnoempleo.com/cas-training/re-151697
Big Data,5,Michael Page,No especificada,"Madrid, España","Python, SQL, AWS, R, Git",27/05/2026 ,No especificada,Indefinido,https://www.tecnoempleo.com/michaelpage-trabajo
Big Data,6,CAS TRAINING,No especificada,Madrid - España,"Python, SQL, Azure, AWS, Spark, Databricks, Java, Scala, R, Kafka",27/05/2026 ,2+ años,Indefinido,https://www.tecnoempleo.com/cas-training/re-151697
Big Data,7,CAS TRAINING,No especificada,Madrid - España,"Python, SQL, Azure, AWS, Spark, Databricks, Java, Scala, R, Kafka",27/05/2026 ,2+ años,Indefinido,https://www.tecnoempleo.com/cas-training/re-151697
Big Data,8,Arelance,No especificada,"Málaga, España","Python, SQL, Java, R, Git, Docker, Kubernetes",27/05/2026 ,20+ años,Indefinido,https://www.tecnoempleo.com/arelance-trabajo
Big Data,9,Talan,No especificada,100% remoto,"Python, SQL, Spark, Java, Scala, R, TensorFlow, Power BI, Git, PostgreSQL",27/05/2026 ,No especificada,Indefinido,https://www.tecnoempleo.com/talan/re-205896
Big Data,10,Sanofi,No especificada,Sanofi tiene una importante presencia en,"Python, Spark, R, Git, PySpark","500 empleados y empleadas, dos sedes (Barcelona y ",50+ años,Indefinido,https://www.tecnoempleo.com/sanofi/re-206465
Big Data,11,Sanofi,No especificada,Sanofi tiene una importante presencia en,"Python, Spark, R, Git, PySpark","500 empleados y empleadas, dos sedes (Barcelona y ",50+ años,Indefinido,https://www.tecnoempleo.com/sanofi/re-206465
