Category,No,Title,Company,Location,Publication Date,Technology Stack,Salary,Experience,Contract Type,URL,Description
Big Data,1,Ingeniero/a de Integración y Datos,CAS TRAINING,100% remoto,29/05/2026,"JSONmXML, AWS, Python",Not specified,5+ years,Permanent,https://www.tecnoempleo.com/ingeniero-integracion-datos-cas-training/jsonmxml-aws/rf-50111dd1528033e61d4a,"🎯Buscamos un/a Integration & Data Engineer Mid-Level con enfoque en integraciones, mensajería y procesamiento de datos. Este rol está orientado a la construcción, ... JSONmXML AWS Python"
Big Data,2,Data engineer (AWS/OCR/PYTHON),Grupo NS,100% remoto,29/05/2026,"python, AWS, Pandas",Not specified,3+ years,Permanent,https://www.tecnoempleo.com/data-engineer-aws-ocr-python-grupo-ns/pandas-numpy/rf-abd11045522ea371354d,"Desde Grupo NS precisamos incorporar un data engineer con al menos 3 años de experiencia, para un proyecto de larga duración en modalidad 100% remoto Skills principales ... python AWS Pandas"
Big Data,3,Data & AI Strategy Enterprise AI Architect,Accenture,Barcelona,29/05/2026,"Python, SQL, AWS",Not specified,6+ years,Permanent,https://www.tecnoempleo.com/data-ai-strategy-enterprise-ai-architect-accenture/python-sql/rf-d9cc169ce2d213eca146,"Are you ready to design and scale the Data & AI backbone of next-generation intelligent enterprises? At Accenture, we are reinventing organizations through data, cloud, and... Python SQL AWS"
Big Data,4,Analista de datos Python - Sector Banca,Accenture,Madrid,29/05/2026,"Python, SQL, Spark",Not specified,5+ years,Permanent,https://www.tecnoempleo.com/analista-datos-python-sector-banca-accenture/sql-spark/rf-120f1b8f4229c3036049,Transformamos las operaciones de nuestros clientes a través de la tecnología y los datos gracias a un equipo de más de 801.000 personas en todo el mundo. Si sientes que ... Python SQL Spark
Big Data,5,BI Developer (WebFOCUS),Digital Talent Agency,100% remoto,29/05/2026,"webfocus, BI, SQL",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/bi-developer-webfocus-digital-talent-agency/sql/rf-80ec11f2320623d9b144,Buscamos un/a BI Developer especializado/a en WebFOCUS para incorporarse a un proyecto de consultoría en entorno internacional. La persona seleccionada participará en el ... webfocus BI SQL
Big Data,6,Ingeniero/a Gobierno del Dato e IA,Arelance,Madrid,29/05/2026,"data, ia, datagovernance",33.000€ - 42.000€ b/a,2+ years,Permanent,https://www.tecnoempleo.com/ingeniero-gobierno-del-dato-e-ia-arelance/data-datagovernance/rf-2c651716d21e03d09d42,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ... data ia datagovernance
Big Data,7,Data Engineer,Arelance,Barcelona,29/05/2026,"etl, ci/cd, sql",30.000€ - 36.000€ b/a,2+ years,Permanent,https://www.tecnoempleo.com/data-engineer-arelance/etl-ci-cd/rf-39b911253288036b6d40,En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ... etl ci/cd sql
Big Data,8,Junior Data Analyst (Quicksight) - Hibrido Madrid,Second Window,Madrid,29/05/2026,"Amazon Quicksight, Python, SQL",Not specified,1+ years,Permanent,https://www.tecnoempleo.com/junior-data-analyst-quicksight-hibrido-madrid-seco/amazon-quicksight-pytho/rf-d1df1fc0922eb33b1f46,"En Second Window, buscamos un perfil de Junior Data Analyst / Data Scientist, analista de BI o rol similar, para incorporarse a un proyecto muy estable y a largo plazo. Esta ... Amazon Quicksight Python SQL"
Big Data,9,Ingeniero de Datos e IA,Segula Technologies,Madrid,29/05/2026,"OpenShift, Kubernetes, CI/CD",Not specified,2+ years,Permanent,https://www.tecnoempleo.com/ingeniero-datos-e-ia-segula-technologies/openshift-kubernetes/rf-e5fa1bb0a286d3f8c143,"¿Quieres formar parte de una empresa innovadora, presente en sectores tan importantes como automoción, rail, energético o aeroespacial entre otros? Desde SEGULA ... OpenShift Kubernetes CI/CD"
Big Data,10,Data Engineer,Sanofi,Barcelona,29/05/2026,"Python, Shell, ETL",45.000€ - 76.000€ b/a,5+ years,Permanent,https://www.tecnoempleo.com/data-engineer-sanofi/python-shell/rf-559715d3f2a7b3f57d4c,"Job title: Data Engineer - Location: Barcelona, Spain About the job We are an innovative global healthcare company with one purpose: to chase the miracles of science ... Python Shell ETL"
Big Data,11,Google Cloud Data Engineer (sector cosmética),Devoteam,Madrid,29/05/2026,"Google Cloud Platform, GCP, ETL",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/google-cloud-data-engineer-sector-cosmetica-devote/google-cloud-platform-g/rf-b45f105bd2fa43183745,"Descripción de la empresa Devoteam es una consultora europea líder especializada en estrategia digital, plataformas tecnológicas, ciberseguridad y transformación ... Google Cloud Platform GCP ETL"
Big Data,12,Senior Data Platform Engineer,Ebury,Madrid,29/05/2026,"Python, SQL, Graph database",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/senior-data-platform-engineer-ebury/python-sql/rf-620d1268e23a63fa1e48,"Ebury helps ambitious businesses unlock global growth, and we take the same approach with our people. We encourage innovation and movement, collaboration and problem-solving, ... Python SQL Graph database"
Big Data,13,RWE Data Scientist,Sanofi,Barcelona,29/05/2026,"data, machine learning, Deep Learning",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/rwe-data-scientist-sanofi/machine-learning-deep-learning/rf-0f271a35d225e32a0b4d,"RWE Data Scientist - Location: Barcelona, Spain About the job Our Team Our Hubs are a crucial part of how we innovate, improving performance across every Sanofi ... data machine learning Deep Learning"
Big Data,14,Data Engineer(f/m/d),Axpo Group,Madrid,29/05/2026,"Python, Java, Scala",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/data-engineer-f-m-d-axpo-group/python-java/rf-ba6a1896a24e23f08b4a,Empower HR to make data-driven decisions! Join us as a Data Engineer and play a key role in building and optimizing data pipelines and architectures that enable advanced ... Python Java Scala
Big Data,15,Senior Data Engineer (Cross Platform Analytics),UST,100% remoto,29/05/2026,"data, ETL, SQL",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/senior-data-engineer-cross-platform-analytics-ust/etl-sql/rf-7cac1ee81203b3870a4b,"¡Seguimos buscando talento…y nos encantaría que te unieras a nuestro equipo! Para que nos conozcas algo mejor, UST es una multinacional norteamericana certificada como ... data ETL SQL"
Big Data,16,Data Engineer,Ebury,Madrid,29/05/2026,"Python, SQL, Airflow",Not specified,5+ years,Permanent,https://www.tecnoempleo.com/data-engineer-ebury/python-sql/rf-9ea81938e2418346c743,"Ebury helps ambitious businesses unlock global growth, and we take the same approach with our people. We encourage innovation and movement, collaboration and problem-solving, ... Python SQL Airflow"
Big Data,17,Data Business Analyst,knowmad mood,Madrid,29/05/2026,data,Not specified,Not specified,Permanent,https://www.tecnoempleo.com/data-business-analyst-knowmad-mood/data/rf-6c011259729a9382704c,"We are knowmad mood! Somos una compañía líder en transformación digital, en constante evolución y a la vanguardia de la tecnología. Formado por más de 3.000 ... data"
Big Data,18,Principal Data Scientist (Machine Learning & AI),Sopra Steria,Madrid,29/05/2026,"Python, LLM, java",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/principal-data-scientist-machine-learning-ai-sopra/python-llm/rf-a8571a77521113e1cb43,"Company Description SBS works with more than 1,500 banks, building societies and specialized finance providers across more than 80 countries worldwide. We help them to ... Python LLM java"
Big Data,19,Data Technical Product Manager (f/m/d),Axpo Group,Madrid,29/05/2026,"Data Platform, Data Engineering, Data Governance",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/data-technical-product-manager-f-m-d-axpo-group/data-platform-data-enginee/rf-485c18ed32ab236b7845,"Workload: 100% We are looking for a highly motivated Data Technical Product Manager who, with a deep technical understanding of the Axpo Data Platform, will help business ... Data Platform Data Engineering Data Governance"
Big Data,20,Senior Data Engineer (Cross Platform Analytics),UST,100% remoto,29/05/2026,"data, ETL, SQL",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/senior-data-engineer-cross-platform-analytics-ust/etl-sql/rf-d2641f40a25773add94c,"¡Seguimos buscando talento…y nos encantaría que te unieras a nuestro equipo! Para que nos conozcas algo mejor, UST es una multinacional norteamericana certificada como ... data ETL SQL"
Big Data,21,Senior Snowflake Engineer - Remote,UST,Madrid,29/05/2026,"snowflake, snowpipe, rbac",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/senior-snowflake-engineer-remote-ust/snowpipe-rbac/rf-05301a92624be335fe43,"We are still looking for the very Top Talent…and we would be delighted if you were to join our team! More in details, UST is a multinational company based in North ... snowflake snowpipe rbac"
